session	block	trial3	side	ecc	tarDur	sigma	soa	tedfTOn	tedfSac	tedfTOf	PeakLum	sacRT	sacOnset	sacOffset	sacDur	sacVPeak	sacDist	sacxOnset	sacyOnset	sacxOffset	sacyOffset	errorChange	largerAmp	blink	id	id_n	plf	sacXresp	gain	tarX	tarX_s	sacXresp_s	sacErr	session_number
small	6	1	-1	8	0.8	1.51875053634257	0.79	801	1031	1618	50.44071	219	219	269	51	512.5606	7.1826	-1.1124570923756	-0.535376459153875	-7.2735570923756	0.203123540846125	-6.2041	0	0	ml	0	50	7.1456862432405	0.893210780405062	8	-8	-6.1611	0.75430661596175	1
small	6	2	1	10	0.8	1.51875053634257	0.64	651	900	1468	50.44071	237	237	290	54	541.6861	9.1154	0.728385405918863	-0.367771955140679	8.85558540591886	0.567828044859321	-8.0155	1	0	ml	0	50	8.77525238892188	0.877525238892188	10	10	8.1272	1.27754195691361	1
small	6	3	-1	7	0.8	1.51875053634257	0.76	768	1012	1585	50.44071	233	233	288	56	480.1733	7.2406	-0.78787227360381	0.281437132537734	-7.08307227360381	0.732837132537734	-6.0238	0	0	ml	0	50	7.08212529330462	1.0117321847578	7	-7	-6.2952	0.737530518329807	1
small	6	4	1	9	0.8	0.300000598707988	0.63	651	856	1468	145.9493	195	195	249	55	560.1015	8.8813	0.88706986980039	0.170350784702848	8.59336986980039	0.694650784702848	-7.6931	0	0	ml	0	146	8.55949104641548	0.951054560712831	9	9	7.7063	0.804914762862772	1
small	6	5	1	8	0.8	0.90937556752528	0.67	684	918	1501	57.34494	223	223	255	33	446.7353	8.1762	0.997011836872355	-0.353931017743608	7.75331183687236	0.228868982256392	-6.7273	1	0	ml	0	57	7.72921492921493	0.966151866151866	8	8	6.7563	0.336505662458105	1
small	6	6	1	7	0.8	0.90937556752528	0.5	517	775	1335	57.34494	246	246	290	45	479.3323	6.6633	0.650153628349877	0.0637917061800056	6.60755362834988	0.676991706180006	-5.796	0	0	ml	0	57	6.57767472673071	0.939667818104386	7	7	5.9574	0.782516405488001	1
small	6	7	-1	9	0.8	0.90937556752528	0.66	684	915	1501	57.34494	219	219	255	37	383.4309	8.0474	-0.960604755032341	-0.147981062465099	-8.00740475503234	0.145218937534901	-7.0523	0	0	ml	0	57	7.87909507659051	0.875455008510057	9	-9	-7.0468	1.00316193117122	1
small	6	8	1	9	0.8	1.51875053634257	0.8	800	1044	1618	50.44071	230	230	265	36	488.3784	8.8611	0.372836687457335	-0.201549342538467	8.02353668745734	0.501850657461533	-7.604	0	0	ml	0	50	7.99047265384749	0.887830294871944	9	9	7.6507	1.09787735341265	1
small	6	9	1	7	0.8	0.90937556752528	0.59	600	878	1418	57.34494	266	266	308	43	456.1812	7.0256	0.347377956547471	-0.0718131528207326	6.83757795654747	0.562686847179267	-6.0357	1	0	ml	0	57	6.83919431565003	0.977027759378575	7	7	6.4902	0.585659805849641	1
small	6	10	-1	6	0.8	1.51875053634257	0.73	751	1006	1568	50.44071	244	244	274	31	412.4648	5.9487	-0.792380947036409	-0.0192725120139513	-5.82988094703641	0.102827487986049	-5.0241	1	0	ml	0	50	5.79311534480776	0.965519224134626	6	-6	-5.0375	0.198781247774406	1
small	6	11	-1	8	0.8	0.90937556752528	0.57	584	937	1401	57.34494	342	342	387	46	453.0522	7.962	-1.30914002257182	0.145572561258074	-8.57914002257182	0.429372561258074	-6.5652	1	0	ml	0	57	8.67981971763723	1.08497746470465	8	-8	-7.27	0.720946573683383	1
small	6	12	1	7	0.8	1.51875053634257	0.69	701	936	1518	50.44071	224	224	275	52	358.5422	6.183	0.678100730660696	0.0355220484494624	6.2548007306607	0.246322048449462	-5.5806	1	0	ml	0	50	6.18435727638541	0.883479610912202	7	7	5.5767	0.784854446745492	1
small	6	13	1	8	0.8	0.300000598707988	0.55	567	805	1384	145.9493	228	228	279	52	596.1707	8.8882	1.1789413133776	0.0903759310919333	8.8986413133776	0.964075931091933	-6.1452	1	0	ml	0	146	9.0667997768447	1.13334997210559	8	8	7.7197	1.31795243124317	1
small	6	14	-1	6	0.8	0.300000598707988	0.69	700	916	1517	145.9493	203	203	244	42	432.5173	6.0186	-0.746918273707665	-0.475565809205523	-6.34121827370766	-0.103265809205523	-5.0354	0	0	ml	0	146	6.37805689094951	1.06300948182492	6	-6	-5.5943	0.35650208647764	1
small	6	15	1	7	0.8	0.300000598707988	0.69	701	897	1518	145.9493	184	184	225	42	473.4848	6.8424	0.30092197011538	0.158296809243036	6.67302197011538	0.862496809243036	-6.0499	0	0	ml	0	146	6.66786755362882	0.95255250766126	7	7	6.3721	0.922396540529964	1
small	6	16	1	8	0.8	0.300000598707988	0.61	617	911	1435	145.9493	281	281	317	37	437.7825	8.7212	0.488462045554228	0.381363768200178	8.04456204555423	1.19776376820018	-6.4782	1	0	ml	0	146	8.05769128232471	1.00721141029059	8	8	7.5561	1.19859243294669	1
small	6	17	1	7	0.8	1.51875053634257	0.58	584	857	1401	50.44071	261	261	302	42	491.9625	6.6696	0.589601953313415	0.26043504950478	6.67020195331342	0.76463504950478	-5.9981	0	0	ml	0	50	6.64972113296568	0.94996016185224	7	7	6.0806	0.832726552074247	1
small	6	18	-1	7	0.8	0.90937556752528	0.52	534	781	1351	57.34494	232	232	270	39	337.2822	5.5319	-0.36545830590547	-0.251889364928294	-5.29965830590547	-0.0960893649282943	-4.9327	0	0	ml	0	57	5.19858518964479	0.742655027092113	7	-7	-4.9342	1.70305462118177	1
